location,seal_count,seal_type,closest_station_name,date,rainfall,maxt,mint,wdsp,eastings,northings,lat,long,county
Clogher Hd,4,Grey,CROAGH (Smithfield),20/08/2003,0.3,,,,315500,285200,53.80366,-6.24764,Louth
Clogher Hd,1,Grey,CROAGH (Smithfield),20/08/2003,0.3,,,,315400,285200,53.80368,-6.24916,Louth
Clogher Hd,10,Grey,CARHEENY BEG,20/08/2003,0.3,,,,315200,286500,53.8154,-6.2517,Louth
Clogher Hd,8,Harbour,CARHEENY BEG,20/08/2003,0.3,,,,315200,286500,53.8154,-6.2517,Louth
Kilmichael,1,Grey,DELPHI LODGE II,20/08/2003,0,,,,325500,166400,52.73449,-6.14278,Wexford
Kilmichael,3,Grey,DELPHI LODGE II,20/08/2003,0,,,,325500,166500,52.73539,-6.14275,Wexford
Poulnaclogh,37,Harbour,MULLAGH (Carrowlagan),15/08/2003,0,,,,127800,210400,53.13951,-9.07961,Clare
Ballyvaughan Bay,28,Harbour,ESKERAGH,16/08/2003,2,,,,123400,209000,53.12632,-9.14501,Clare
Ballyvaughan Bay,6,Harbour,ESKERAGH,16/08/2003,2,,,,123500,208800,53.12454,-9.14346,Clare
Ballyvaughan Bay,29,Harbour,ESKERAGH,16/08/2003,2,,,,123600,208600,53.12276,-9.14192,Clare
Lettermore Is,1,Harbour,BALLYDESMOND,15/08/2003,0,,,,91700,229800,53.30765,-9.62543,Galway
Lettermore Is,7,Harbour,ENNISTYMON (Deerpark),15/08/2003,0,,,,88200,226800,53.27998,-9.67685,Galway
Lettermore Is,7,Harbour,M.BALLINGEARY (Meelin Mtn.),15/08/2003,0,,,,88600,227600,53.28725,-9.67114,Galway
Lettermore Is,1,Harbour,M.BALLINGEARY (Tooreenaneen),15/08/2003,0,,,,87100,225800,53.27076,-9.69298,Galway
Rossaveel,1,Harbour,COOMCLOGH,16/08/2003,0,,,,96300,225600,53.27084,-9.55508,Galway
Rossaveel,1,Harbour,ENNISTYMON (Deerpark),16/08/2003,0,,,,96500,227200,53.28525,-9.5526,Galway
Rossaveel,5,Harbour,ENNISTYMON (Deerpark),16/08/2003,0,,,,96900,227000,53.28354,-9.54654,Galway
Rossaveel,6,Harbour,ENNISTYMON (Deerpark),16/08/2003,0,,,,96800,226800,53.28172,-9.54798,Galway
Rossaveel,12,Harbour,ENNISTYMON (Deerpark),16/08/2003,0,,,,96800,226800,53.28172,-9.54798,Galway
Rossaveel,4,Harbour,SKIBEREEN (WaterTreatmentPlant),16/08/2003,0,,,,96400,223300,53.25021,-9.55283,Galway
Rossaveel,1,Harbour,DOO-LOUGH,16/08/2003,0,,,,96600,221700,53.23587,-9.54932,Galway
Rossaveel,6,Harbour,DRIMOLEAGUE (Angram),16/08/2003,0,,,,105000,221100,53.23205,-9.42338,Galway
